id,atr1,atr2,atr3,atr4,opis,datum_prip,kategorija,pluzenje,dolzina1,z_enota,z_opis,z_kategori,z_dolzina,z_plocniki,zelenice_1,ime,geometry
37330655.0,10.0,,,532191,MeĹˇkova ulica do HĹ  9,2022/06/04 00:00:00.000,javna pot,SKLOP2,120.0,PEZ 1,Mečkova ulica do HŠ 9,javna pot,120.0,,,,"LINESTRING (519154.16 123008.47, 519155.04 122999.94, 519155.64 122994.71, 519156.6 122986.53, 519157.44 122979.08, 519158.38 122970.15, 519159.42 122960.22, 519160.34 122951.39, 519161.08 122944.36, 519161.9 122936.54, 519162.63 122929.52, 519163.42 122921.97, 519164.01 122916.37, 519164.55 122911.19, 519165.35 122903.62, 519166.17 122895.79, 519166.84 122889.35)"
37329870.0,10.0,,,532151,Kozakova ulica do HĹ  12,2022/06/04 00:00:00.000,javna pot,SKLOP2,135.0,PEZ 1,Kozakova ulica do HŠ 12,javna pot,135.0,,,,"LINESTRING (519447.71 123029.77, 519447.48 123024.26, 519447.15 123018.23, 519446.66 123007.83, 519446.29 123001.33, 519445.79 122994.24, 519445.26 122987.81, 519444.56 122979.14, 519443.9 122972.58, 519442.91 122962.74, 519442.19 122955.57, 519441.29 122947.81, 519440.37 122939.89, 519439.48 122932.2, 519438.62 122924.72, 519437.98 122918.99, 519437.33 122913.11, 519436.69 122907.24, 519436.03 122901.27, 519435.36 122895.43)"
37329875.0,10.0,,,532181,ValjavÄŤeva ulica do HĹ  10,2022/06/04 00:00:00.000,javna pot,SKLOP2,135.0,PEZ 1,Valjavčeva ulica do HŠ 10,javna pot,135.0,,,,"LINESTRING (519223.05 123034.43, 519223.79 123026.43, 519224.39 123019.88, 519225.09 123012.91, 519225.91 123004.74, 519226.46 122998.98, 519227.18 122991.39, 519227.94 122983.35, 519228.82 122974.14, 519229.64 122965.53, 519230.25 122959.05, 519231.02 122951.02, 519231.66 122944.22, 519232.35 122936.87, 519232.88 122930.23, 519233.33 122924.56, 519233.78 122918.3, 519234.26 122911.62, 519234.71 122905.29, 519235.11 122899.79)"
37329876.0,10.0,,,532161,Pohlinova ulica do HĹ  10,2022/06/04 00:00:00.000,javna pot,SKLOP2,131.0,PEZ 1,Pohlinova ulica do HŠ 10,javna pot,131.0,,,,"LINESTRING (519377.72 123034.81, 519377.75 123029.49, 519377.72 123022.99, 519377.7 123017.33, 519377.68 123008.73, 519377.67 122999.59, 519377.65 122989.2, 519377.64 122979.41, 519377.63 122972.82, 519377.62 122965.92, 519377.61 122959.44, 519377.6 122951.33, 519377.59 122945.02, 519377.57 122936.1, 519377.56 122930.44, 519377.55 122923.31, 519377.6 122916.13, 519377.66 122909.33, 519377.7 122904.04)"
37329880.0,10.0,,,532171,Mencingerjeva ulica do HĹ  11,2022/06/04 00:00:00.000,javna pot,SKLOP2,125.0,PEZ 1,Mencingerjeva ulica do HŠ 11,javna pot,125.0,,,,"LINESTRING (519307.48 123036.81, 519307.5 123031.13, 519307.5 123026.26, 519307.5 123020.76, 519307.49 123014.45, 519307.47 123006.45, 519307.45 122997.91, 519307.43 122988.28, 519307.41 122979.36, 519307.39 122971.03, 519307.37 122962.11, 519307.36 122953.79, 519307.34 122945.19, 519307.32 122937.25, 519307.31 122929.68, 519307.29 122922.61, 519307.24 122917.93, 519307.18 122911.82)"
37330654.0,13.0,,,032681,Valvasorjeva ulica,2022/06/04 00:00:00.000,mestna ali krajevna cesta,SKLOP1,79.0,,,,,,,,"LINESTRING (519154.16 123008.47, 519150.35 123006.39, 519145.21 123003.41, 519138.56 122999.33, 519132.17 122995.19, 519124.45 122989.96, 519118.08 122985.39, 519112.52 122981.05, 519107.26 122976.95, 519102.01 122972.83, 519098.74 122970.26, 519094.39 122966.95, 519089.82 122963.57)"
37330653.0,10.0,,,532202,Valvasorjeva ulica do HĹ  62,2022/06/04 00:00:00.000,javna pot,SKLOP2,35.0,PEZ 1,Valvasorjeva ulica do HŠ 62,javna pot,35.0,,,,"LINESTRING (519089.82 122963.57, 519087.79 122967.47, 519084.45 122973.93, 519082.59 122977.55, 519080.47 122981.74, 519079.06 122984.66, 519077.3 122988.2, 519075.7 122991.26, 519073.67 122995.16)"
37329874.0,13.0,,,032681,Valvasorjeva ulica,2022/06/04 00:00:00.000,mestna ali krajevna cesta,SKLOP1,74.0,,,,,,,,"LINESTRING (519223.05 123034.43, 519216.94 123033.12, 519210.3 123031.43, 519204.1 123029.58, 519198.85 123027.93, 519191.69 123025.42, 519184.48 123022.67, 519177.19 123019.66, 519169.85 123016.36, 519164.11 123013.63, 519159.29 123011.15, 519154.16 123008.47)"
37329923.0,10.0,,,532192,Valvasorjeva ulica do HĹ  46,2022/06/04 00:00:00.000,javna pot,SKLOP2,35.0,PEZ 1,Valvasorjeva ulica do HŠ 46,javna pot,35.0,,,,"LINESTRING (519154.16 123008.47, 519153.71 123013.6, 519153.32 123018.02, 519152.91 123022.69, 519152.45 123027.11, 519151.93 123032.09, 519151.48 123036.43, 519151.18 123039.35, 519150.78 123043.31)"
37329871.0,13.0,,,032681,Valvasorjeva ulica,2022/06/04 00:00:00.000,mestna ali krajevna cesta,SKLOP1,70.0,,,,,,,,"LINESTRING (519517.21 123025.75, 519512.7 123024.08, 519508.83 123023.43, 519505.05 123023.48, 519500.66 123023.94, 519491 123025.12, 519483.41 123026.06, 519477.12 123026.74, 519466.96 123027.84, 519456.51 123028.92, 519447.71 123029.77)"
